date,hours,$,provider,requirement ID,test-that-went-green,commit,fixture,seal_type,notes
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_clean_and_auto_preserved,77a12beaaec55cf85233eef3d43bf734d5db79e2,development:clean_and_auto_preserved,unsealed,"Synthetic deterministic seed 0; not design recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_batch_confounding,77a12beaaec55cf85233eef3d43bf734d5db79e2,development:batch_confounding,unsealed,"Synthetic deterministic seed 0; not design recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_crossed_batch_preserved_in_output,77a12beaaec55cf85233eef3d43bf734d5db79e2,development:crossed_batch_preserved_in_output,unsealed,"Synthetic deterministic seed 0; not design recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_constant_batch_is_not_confounded,77a12beaaec55cf85233eef3d43bf734d5db79e2,development:constant_batch_is_not_confounded,unsealed,"Synthetic deterministic seed 0; not design recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-143,tests/test_stage01_design.py:DevelopmentDesignTests.test_atac_floor_per_condition,77a12beaaec55cf85233eef3d43bf734d5db79e2,development:atac_floor_per_condition,unsealed,"Synthetic deterministic seed 0; not design recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-143,tests/test_stage01_design.py:DevelopmentDesignTests.test_atac_clean,77a12beaaec55cf85233eef3d43bf734d5db79e2,development:atac_clean,unsealed,"Synthetic deterministic seed 0; not design recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_missing_strandedness,77a12beaaec55cf85233eef3d43bf734d5db79e2,development:missing_strandedness,unsealed,"Synthetic deterministic seed 0; not design recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_duplicate_sample_id,77a12beaaec55cf85233eef3d43bf734d5db79e2,development:duplicate_sample_id,unsealed,"Synthetic deterministic seed 0; not design recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-143,tests/run_tests.py:AtacseqWrapperTests,77a12beaaec55cf85233eef3d43bf734d5db79e2,development:ATAC wrapper project,unsealed,Expanded positive fixture to two samples per condition; fake outputs include both replicates. Not design recall.
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_required_declarations,ec2006c89ceb0b96e53630278059c4e2b7130e04,development:required_declarations,unsealed,"Owner 2A; synthetic development evidence, not sealed recall. Hours and cost unmetered; blank is unknown, not zero."
